Slutpris,Utgångspris,Antal rum,Boarea,Våning,Byggår,Avgift/månad,Driftskostnad/år,Latitudes,Longitudes,Upplåtelseform_Andel i bostadsförening,Upplåtelseform_Andelsboende,Upplåtelseform_Annat,Upplåtelseform_Bostadsrätt,Upplåtelseform_Äganderätt,Balkong_Ja,Balkong_Nej,Hiss_Ja,Hiss_Nej
2800000,3000000,1.0,26.0,1.0,1939,1015.0,3600.0,59.3416072,18.0795579,0,0,0,1,0,0,1,1,0
3000000,2340000,1.0,20.0,5.0,1927,1249.0,6000.0,59.3388638,18.0336555,0,0,0,1,0,0,1,1,0
3400000,2995000,1.0,37.0,6.0,1936,2043.0,4320.0,59.3372911,18.0310741,0,0,0,1,0,1,0,1,0
2750000,2795000,1.0,30.0,4.0,1943,1506.0,5880.0,59.327609,18.012946,0,0,0,1,0,1,0,1,0
3200000,2995000,1.0,31.0,2.0,1963,885.0,5880.0,59.3306662,18.0371541,0,0,0,1,0,0,1,1,0
2710000,2495000,1.0,28.0,1.0,1934,2458.0,7400.0,59.3305117,18.0471569,0,0,0,1,0,1,0,1,0
3250000,2995000,1.0,29.0,4.0,1912,1487.0,6880.5,59.3431241,18.0289906,0,0,0,1,0,0,1,1,0
2790000,2895000,1.0,25.0,3.0,1925,1482.0,6880.5,59.3444849,18.036394,0,0,0,1,0,0,1,0,1
3400000,3295000,1.0,34.0,3.0,1929,2001.0,6880.5,59.336363,18.0254506,0,0,0,1,0,0,1,1,0
2650000,2595000,1.0,21.0,1.0,1928,1524.0,4000.0,59.3475993,18.0625777,0,0,0,1,0,0,1,0,1
2550000,2495000,1.0,28.0,2.0,1934,1709.0,6500.0,59.3337211,18.0002412,0,0,0,1,0,0,1,0,1
3020000,2895000,1.0,20.0,2.0,1915,780.0,4600.0,59.3443839,18.0623278,0,0,0,1,0,0,1,0,1
2950000,2695000,1.0,26.0,1.0,1914,1203.0,6880.5,59.3417122,18.0383054,0,0,0,1,0,0,1,1,0
3225000,3195000,1.0,29.0,3.5,1912,1487.0,6880.5,59.3431241,18.0289906,0,0,0,1,0,1,0,1,0
2600000,2495000,1.0,31.0,2.0,1938,2685.0,6880.5,59.3300512,18.0470286,0,0,0,1,0,0,1,1,0
2475000,2295000,1.0,22.0,0.5,1925,1374.0,6880.5,59.3445625,18.0359168,0,0,0,1,0,0,1,0,1
2870000,2650000,1.0,32.0,1.0,1906,1493.0,6700.0,59.3488091,18.0470291,0,0,0,1,0,0,1,1,0
3100000,2950000,1.0,24.0,6.0,1930,1770.0,6880.5,59.328946,18.0303675,0,0,0,1,0,1,0,1,0
2265000,0,1.0,24.0,4.0,1934,2192.0,6880.5,59.3344084,18.0470352,0,0,0,1,0,1,0,1,0
2700000,2795000,1.0,33.0,1.5,1938,2527.0,4400.0,59.3355314,17.999682,0,0,0,1,0,0,1,1,0
3100000,2995000,1.0,28.0,2.0,1930,1501.0,6880.5,59.3374841,18.086019,0,0,0,1,0,0,1,1,0
2650000,2495000,1.0,26.0,2.0,1926,1467.0,6880.5,59.332959,18.0154813,0,0,0,1,0,0,1,0,1
2760000,2495000,1.0,21.0,1.5,1927,1187.0,4400.0,59.3389878,18.0337951,0,0,0,1,0,0,1,1,0
2300000,2395000,1.0,20.5,2.0,1926,1100.0,2000.0,59.3328465,18.016003,0,0,0,1,0,0,1,0,1
2500000,2495000,1.0,24.0,4.0,1926,1557.0,1824.0,59.3388171,18.0325681,0,0,0,1,0,0,1,1,0
2700000,2495000,1.0,20.0,2.0,1951,1004.0,6880.5,59.3379679,18.1007411,0,0,0,1,0,0,1,1,0
2020000,1995000,1.0,18.4,6.0,1963,498.0,6880.5,59.3266716,18.0192764,0,0,0,1,0,0,1,1,0
2660000,2450000,1.0,26.5,3.0,1934,2390.0,8112.0,59.3311218,18.0498631,0,0,0,1,0,1,0,1,0
2850000,2695000,1.0,24.0,3.0,1928,595.0,6500.0,59.3388608,18.0393542,0,0,0,1,0,0,1,1,0
2450000,2450000,1.0,24.0,1.0,1938,1876.0,4200.0,59.3300512,18.0470286,0,0,0,1,0,0,1,1,0
3600000,3495000,1.0,40.0,1.0,1937,2507.0,6880.5,59.3373148,18.0217197,0,0,0,1,0,1,0,1,0
2250000,2195000,1.0,22.5,5.0,1949,1176.0,3000.0,59.3380329,18.0144761,0,0,0,1,0,0,1,1,0
3620000,3295000,1.0,33.0,3.0,1902,2346.0,4900.0,59.3474549,18.0586935,0,0,0,1,0,0,1,1,0
2695000,2695000,1.0,28.0,3.0,1928,1667.0,6880.5,59.3367391,18.0259077,0,0,0,1,0,0,1,1,0
3195000,3195000,1.0,40.0,11.0,2006,2383.0,6648.0,59.3345168,18.0173428,0,0,0,1,0,1,0,1,0
2430000,2495000,1.0,27.0,1.0,1934,2302.0,6000.0,59.3300981,18.0511514,0,0,0,1,0,0,1,1,0
