Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
Blekholmsterrassen 7,31 januari 2023,4530000,5000000,Lägenhet,Bostadsrätt,2.0,59.5,Ja,4.0,1994,4553.0,12100.0,Ja,8
"Fleminggatan 25, Ö.G, 4 tr",31 januari 2023,7625000,6395000,Lägenhet,Bostadsrätt,2.0,61.0,Ja,4.0,1907,1819.0,8400.0,Ja,8
"Idungatan 8A, 2tr",31 januari 2023,6720000,5695000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,2.0,1904,2205.0,4600.0,Ja,7
"Birkagatan 26, 4tr",31 januari 2023,6600000,0,Lägenhet,Andel i bostadsförening,2.0,64.0,Nej,4.0,1904,2952.0,,Ja,6
"Torsgatan 49, 1 tr",31 januari 2023,4400000,3850000,Lägenhet,Bostadsrätt,2.0,38.0,Nej,1.0,1906,1626.0,6000.0,Ja,6
Vanadisvägen 7,31 januari 2023,5160000,4495000,Lägenhet,Bostadsrätt,2.0,60.0,Nej,1.0,0,2720.0,7044.0,Ja,7
Kronobergsgatan 23A,1 februari 2023,3985000,3495000,Lägenhet,Bostadsrätt,2.0,37.0,Ja,2.0,1884,1240.0,5400.0,Nej,1
Tomtebogatan 40,1 februari 2023,4400000,4000000,Lägenhet,Bostadsrätt,2.0,36.0,Ja,2.0,1907,2018.0,6200.0,Ja,6
Rörstrandsgatan 34A,1 februari 2023,7050000,6800000,Lägenhet,Bostadsrätt,2.0,63.0,Ja,,1906,3037.0,7000.0,,6
Valhallavägen 164,1 februari 2023,6900000,6200000,Lägenhet,Bostadsrätt,2.0,54.0,,5.0,1923,2688.0,7000.0,Ja,3
"Luntmakargatan 95, 3tr",1 februari 2023,4620000,4195000,Lägenhet,Bostadsrätt,2.0,43.0,Nej,3.0,1946,1541.0,8844.0,Ja,0
"Sankt Eriksgatan 87, 2tr",1 februari 2023,5350000,4895000,Lägenhet,Bostadsrätt,2.0,42.0,Ja,2.0,1926,1199.0,,Ja,6
Valhallavägen 152B,1 februari 2023,5050000,5195000,Lägenhet,Bostadsrätt,2.0,48.0,,,1973,2006.0,,,0
Wennerbergsgatan 6,1 februari 2023,3300000,3295000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,3.0,1944,2405.0,7380.0,Ja,5
"Karlbergsvägen 29A, 1tr",1 februari 2023,6625000,5745000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,1.0,1898,2531.0,9600.0,Ja,7
"Lidnersgatan 12 A, 3 tr",1 februari 2023,2875000,2695000,Lägenhet,Bostadsrätt,2.0,33.0,,3.0,1938,2583.0,,Ja,2
Kungsbro strand 25,1 februari 2023,3050000,3195000,Lägenhet,Bostadsrätt,2.0,38.0,,0.0,1936,3307.0,,Ja,8
"Eriksbergsgatan 1A, 5tr",2 februari 2023,6900000,6275000,Lägenhet,Bostadsrätt,2.0,54.0,,5.0,1917,1770.0,8500.0,Ja,0
"Tulegatan 42, 6tr",2 februari 2023,4900000,4650000,Lägenhet,Bostadsrätt,2.0,49.0,Ja,6.0,1972,2528.0,4739.0,Ja,0
Hälsingegatan 10B,2 februari 2023,5760000,5495000,Lägenhet,Bostadsrätt,2.0,53.0,Ja,4.0,1906,2912.0,10950.0,Nej,7
"Anna Steckséns Gata 15, 10 tr",2 februari 2023,4900000,4850000,Lägenhet,Bostadsrätt,2.0,38.0,Ja,10.0,2022,2387.0,,Ja,6
"Tomtebogatan 48B, 5tr - Accepterat pris",2 februari 2023,4295000,4195000,Lägenhet,Bostadsrätt,2.0,40.0,Ja,5.0,1908,1716.0,9600.0,Ja,6
"Körsbärsvägen 10, 5tr",2 februari 2023,5025000,4695000,Lägenhet,Bostadsrätt,2.0,53.0,Ja,5.0,1942,2664.0,4200.0,Ja,0
Karlsviksgatan 7,2 februari 2023,4365000,4350000,Lägenhet,Bostadsrätt,2.0,46.0,Nej,4.0,1929,2807.0,4800.0,Ja,1
"Inedalsgatan 21, vån 5",2 februari 2023,6500000,5995000,Lägenhet,Bostadsrätt,2.0,63.0,Ja,5.0,1914,3042.0,,Ja,6
Ulriksborgsgatan 16,3 februari 2023,3530000,3350000,Lägenhet,Bostadsrätt,2.0,41.5,Nej,3.0,2010,2278.0,4800.0,Ja,5
Adolf Fredriks Kyrkogata 3,3 februari 2023,7100000,7250000,Lägenhet,Bostadsrätt,2.0,61.0,Ja,6.0,2015,3089.0,11556.0,Ja,0
"Ruddammsvägen 6, 3 tr",3 februari 2023,4260000,4295000,Lägenhet,Bostadsrätt,2.0,52.0,Ja,3.0,1943,2633.0,5880.0,Ja,0
"Hälsingegatan 13A, 2tr",3 februari 2023,7500000,6950000,Lägenhet,Andel i bostadsförening,2.0,62.0,Ja,2.0,1899,2534.0,9252.0,Nej,7
"Kungsholms Strand 171, 5 tr",3 februari 2023,4650000,4295000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,5.0,1930,2506.0,,Ja,1
"Parkgatan 10, vån 4",3 februari 2023,6300000,5995000,Lägenhet,Bostadsrätt,2.0,58.0,Ja,4.0,1899,4764.0,2501.0,Nej,8
Valhallavägen 174,3 februari 2023,4550000,0,Lägenhet,Bostadsrätt,2.0,41.0,,,0,2255.0,,,3
"Tomtebogatan 33A, 2 tr",3 februari 2023,7225000,6900000,Lägenhet,Bostadsrätt,2.0,66.0,Ja,2.0,1907,2999.0,,Nej,6
"Alströmergatan 32P, 3/3 tr",3 februari 2023,4400000,3995000,Lägenhet,Bostadsrätt,2.0,45.0,,3.0,1928,2499.0,3876.0,,1
"Hälsingegatan 7A, 2tr",3 februari 2023,6900000,0,Lägenhet,Bostadsrätt,2.0,56.0,Ja,2.0,1900,1986.0,,Nej,7
David Bagares Gata 20A,4 februari 2023,4600000,4750000,Lägenhet,Bostadsrätt,2.0,47.0,,,1929,2943.0,5400.0,,0
"Observatoriegatan 14, 3 tr.",5 februari 2023,4850000,3950000,Lägenhet,Bostadsrätt,2.0,37.0,,3.0,1882,1920.0,,Ja,4
Kungstensgatan 44,5 februari 2023,4870000,4495000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,3.0,1968,1201.0,,Ja,4
Hälsingegatan 12A,6 februari 2023,6050000,5495000,Lägenhet,Bostadsrätt,2.0,50.0,Ja,1.0,1912,2398.0,10380.0,Ja,7
Västmannagatan 71C,6 februari 2023,6335000,5500000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,3.0,1907,2549.0,4200.0,,7
Frödingsvägen 4,6 februari 2023,3695000,3695000,Lägenhet,Bostadsrätt,2.5,49.0,,,1931,2957.0,9900.0,,2
"Gävlegatan 5, 4tr",6 februari 2023,4800000,4300000,Lägenhet,Bostadsrätt,2.0,44.0,Nej,4.0,1926,2089.0,4800.0,Nej,6
"Pontonjärgatan 35, 2tr",7 februari 2023,4880000,3995000,Lägenhet,Bostadsrätt,2.0,42.0,Ja,2.0,1932,1822.0,8520.0,Ja,1
Rörstrandsgatan 34A,7 februari 2023,4000000,3495000,Lägenhet,Bostadsrätt,2.0,36.0,,,1906,1747.0,7000.0,,6
"Pontonjärgatan 38, 3 tr",7 februari 2023,6375000,5995000,Lägenhet,Bostadsrätt,2.0,61.0,Ja,3.0,1925,1934.0,,Ja,1
Kommendörsgatan 42,7 februari 2023,4100000,3950000,Lägenhet,Bostadsrätt,2.0,32.0,,4.0,1939,871.0,6500.0,Ja,3
"Drottningholmsvägen 72, 3tr",7 februari 2023,3150000,3175000,Lägenhet,Bostadsrätt,2.0,38.0,Nej,3.0,1927,2013.0,12600.0,Ja,5
Vegagatan 5,7 februari 2023,7100000,7295000,Lägenhet,Bostadsrätt,2.0,70.0,Nej,1.0,1884,3327.0,5735.0,Ja,4
Adlerbethsgatan 15,7 februari 2023,4000000,3795000,Lägenhet,Bostadsrätt,2.0,45.0,Nej,0.5,1931,2454.0,,Nej,2
Hornsbergs Strand 15 E,7 februari 2023,3925000,3925000,Lägenhet,Bostadsrätt,2.0,56.5,,1.0,2016,2825.0,,Ja,5
Södra Agnegatan 26,7 februari 2023,6925000,6495000,Lägenhet,Bostadsrätt,2.0,65.0,Nej,2.0,1885,2521.0,,Ja,8
Pontonjärgatan 18,8 februari 2023,4000000,3795000,Lägenhet,Bostadsrätt,2.0,38.0,Nej,2.0,1931,2335.0,7500.0,Ja,1
Rödabergsgatan 9B,8 februari 2023,4325000,4250000,Lägenhet,Bostadsrätt,2.0,45.0,Nej,3.0,1925,2640.0,7256.0,Nej,6
"Rehnsgatan 1, 1,5tr",8 februari 2023,5660000,5000000,Lägenhet,Bostadsrätt,2.0,54.0,,1.5,1924,1626.0,,Ja,0
"Upplandsgatan 54D, 2tr",8 februari 2023,6400000,6250000,Lägenhet,Bostadsrätt,2.0,61.0,Nej,2.0,1905,3115.0,5160.0,Nej,7
"Gävlegatan 36B, 6tr",8 februari 2023,3995000,3990000,Lägenhet,Bostadsrätt,1.5,33.3,Nej,6.0,2021,2379.0,3696.0,Ja,6
"Gjutargatan 6, 1,5 tr",8 februari 2023,3850000,3695000,Lägenhet,Bostadsrätt,2.0,46.0,Nej,1.5,1935,2943.0,5880.0,Ja,1
Skeppargatan 21,8 februari 2023,5900000,5300000,Lägenhet,Bostadsrätt,2.0,44.0,,,1883,0.0,7700.0,,9
"Ulriksborgsgatan 9, 10tr",8 februari 2023,3570000,3195000,Lägenhet,Bostadsrätt,1.5,40.0,Ja,10.0,2006,2319.0,,Ja,5
Kronobergsgatan 8,8 februari 2023,4175000,3595000,Lägenhet,Bostadsrätt,2.0,38.0,Nej,2.0,1898,2365.0,7521.0,Nej,1
Blekholmsterrassen 9,8 februari 2023,4550000,4750000,Lägenhet,Bostadsrätt,2.0,51.5,Ja,3.0,1994,4154.0,4800.0,Ja,8
"Upplandsgatan 39, 5tr",8 februari 2023,5200000,4150000,Lägenhet,Bostadsrätt,2.0,47.0,,5.0,1882,2201.0,6600.0,Ja,4
"Lars Forssells gata 22, 4tr",8 februari 2023,6150000,6000000,Lägenhet,Bostadsrätt,2.5,76.0,Ja,4.0,2013,3365.0,11880.0,Ja,2
Bergsgatan 3A,8 februari 2023,6500000,5895000,Lägenhet,Bostadsrätt,2.0,64.0,Nej,0.5,1914,2689.0,5724.0,Ja,8
Hornsbergs strand 15E,9 februari 2023,3175000,2995000,Lägenhet,Bostadsrätt,2.0,35.0,Ja,8.0,2016,1750.0,3700.0,Ja,5
Dalagatan 68B,9 februari 2023,4600000,4495000,Lägenhet,Bostadsrätt,2.0,42.6,Nej,2.0,1896,2526.0,3480.0,Nej,7
Frejgatan 25,9 februari 2023,4295000,3690000,Lägenhet,Bostadsrätt,2.0,40.0,,,0,2149.0,10500.0,,0
"Fridhemsgatan 64 A, 2 tr ö.g.",9 februari 2023,5995000,5995000,Lägenhet,Bostadsrätt,2.0,57.8,Ja,2.0,1903,3901.0,9108.0,Ja,1
"Sankt Göransgatan 102, 5 tr",9 februari 2023,3900000,3795000,Lägenhet,Bostadsrätt,2.0,45.0,Ja,5.0,1993,2518.0,5800.0,Ja,1
Pipersgatan 45B,9 februari 2023,6485000,6495000,Lägenhet,Bostadsrätt,2.5,75.0,Ja,2.0,1986,3661.0,,Ja,8
Sveavägen 93,9 februari 2023,4065000,3950000,Lägenhet,Bostadsrätt,2.0,39.5,Nej,,1926,1965.0,,,4
"Gävlegatan 32, vån 2",9 februari 2023,5625000,5795000,Lägenhet,Bostadsrätt,2.0,58.0,Ja,2.0,2017,2900.0,,Ja,6
Luntmakargatan 36,9 februari 2023,4600000,4895000,Lägenhet,Bostadsrätt,2.0,62.0,,1.0,1939,3156.0,,Ja,0
Nordenflychtsvägen 62,9 februari 2023,4995000,5195000,Lägenhet,Bostadsrätt,2.0,62.0,Ja,3.0,2017,2332.0,,Ja,2
"Drottningholmsvägen 9, 3tr",9 februari 2023,6300000,6500000,Lägenhet,Andel i bostadsförening,2.0,64.0,Nej,3.0,1907,1623.0,9000.0,Ja,1
"Kungsklippan 11, 5 tr",9 februari 2023,2900000,2850000,Lägenhet,Bostadsrätt,1.5,31.0,Nej,5.0,1938,3262.0,5880.0,Ja,8
"Karlsviksgatan 7, 2,5 tr",10 februari 2023,4600000,4195000,Lägenhet,Bostadsrätt,2.0,40.0,,2.5,1929,2441.0,7800.0,Ja,1
Grubbens Gata 7,10 februari 2023,4250000,3995000,Lägenhet,Bostadsrätt,2.0,45.0,Nej,0.5,1920,1825.0,7320.0,Ja,8
"Alströmergatan 32T, 4 tr",10 februari 2023,4150000,3995000,Lägenhet,Bostadsrätt,2.0,49.0,Nej,4.0,1928,2713.0,8160.0,Nej,1
Ola Hanssonsgatan 7,10 februari 2023,3450000,3495000,Lägenhet,Bostadsrätt,2.0,44.0,Nej,,1934,2533.0,4529.0,,2
"Kungsholmsgatan 11, 5tr",10 februari 2023,4220000,3800000,Lägenhet,Bostadsrätt,2.0,44.0,Ja,5.0,1936,3730.0,6000.0,,8
Hagagatan 54 A,10 februari 2023,3800000,3895000,Lägenhet,Bostadsrätt,2.0,35.0,Ja,2.0,1912,2142.0,,Nej,7
"Emmy rappes gata 2, vån 6",10 februari 2023,3500000,0,Lägenhet,Bostadsrätt,1.5,33.0,Nej,6.0,2022,2032.0,6653.0,Ja,6
Stagneliusvägen 23,10 februari 2023,3900000,3995000,Lägenhet,Bostadsrätt,2.0,47.5,Ja,4.0,1937,3497.0,,Ja,5
Gjörwellsgatan 15,10 februari 2023,3200000,2995000,Lägenhet,Bostadsrätt,2.0,35.1,Ja,2.0,1944,2177.0,6900.0,Ja,5
"Polhemsgatan 5, 3tr",10 februari 2023,7900000,7495000,Lägenhet,Bostadsrätt,2.5,77.0,Nej,3.0,1932,3083.0,,Ja,1
"Roslagsgatan 6,  3.5tr mot innergården. Accepterat pris!!!",10 februari 2023,4600000,4595000,Lägenhet,Bostadsrätt,2.0,39.0,Nej,3.5,0,1656.0,4800.0,Ja,0
"Norra Stationsgatan 62B, 2tr",10 februari 2023,3400000,3400000,Lägenhet,Bostadsrätt,2.0,35.0,Ja,2.0,2023,2320.0,,Ja,7
"Warfvinges väg 15, 5tr",10 februari 2023,4100000,3795000,Lägenhet,Bostadsrätt,2.5,49.0,Ja,5.0,2013,2347.0,6000.0,Ja,5
Dalagatan 108,10 februari 2023,3750000,3495000,Lägenhet,Bostadsrätt,2.0,34.0,Ja,3.0,2022,2257.0,,Ja,4
"Fredhällsgatan 13, 1,5r",10 februari 2023,3980000,3895000,Lägenhet,Bostadsrätt,2.0,43.0,Ja,1.0,1931,2015.0,8400.0,,2
"Robert Almströmsgatan 9B, 1,5 tr",10 februari 2023,5510000,4750000,Lägenhet,Bostadsrätt,2.0,46.0,Nej,1.0,1928,2164.0,7872.0,Ja,6
Svarvargatan 7,10 februari 2023,7100000,7495000,Lägenhet,Bostadsrätt,2.5,80.0,Nej,4.0,0,4452.0,5880.0,Ja,1
Frejgatan 18,11 februari 2023,5150000,5275000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,,1940,2368.0,,,0
"Celsiusgatan 4, ½ tr",11 februari 2023,3500000,3295000,Lägenhet,Bostadsrätt,2.0,31.0,Nej,0.5,1932,1663.0,,Ja,8
"Frejgatan 47, 3 tr",11 februari 2023,4800000,4250000,Lägenhet,Bostadsrätt,2.0,38.0,Ja,3.0,1929,950.0,7716.0,Ja,4
John bergs plan 3,11 februari 2023,3950000,3895000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,2.0,1936,2596.0,4080.0,Ja,1
"Hagagatan 54A, 1 tr",13 februari 2023,3700000,3450000,Lägenhet,Bostadsrätt,2.0,35.0,Ja,1.0,1912,2142.0,,Nej,7
"Harry Martinsons gata 11, 5 tr",13 februari 2023,3900000,3750000,Lägenhet,Bostadsrätt,2.0,46.0,Ja,5.0,2011,2450.0,,Ja,2
Sveavägen 117A,13 februari 2023,7000000,6895000,Lägenhet,Bostadsrätt,2.5,73.0,Ja,2.0,1927,2581.0,,Ja,4
Observatoriegatan 7,13 februari 2023,6000000,5795000,Lägenhet,Andel i bostadsförening,2.0,45.0,Nej,,1897,1485.0,13800.0,,4
Creutzgatan 9,14 februari 2023,3700000,3450000,Lägenhet,Bostadsrätt,2.0,39.7,Nej,2.0,1926,2254.0,4000.0,Nej,5
Ture Nermans gränd 6,14 februari 2023,4400000,4495000,Lägenhet,Bostadsrätt,2.0,47.5,Nej,0.5,1930,951.0,,Ja,1
"Birger Jarlsgatan 109D, 3tr",14 februari 2023,6300000,5195000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,3.0,1903,2468.0,6000.0,Nej,0
"Västmannagatan 49A, 3 tr",14 februari 2023,6050000,5195000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,3.0,1895,2603.0,,Ja,4
"Gävlegatan 4, 4tr",14 februari 2023,6700000,6995000,Lägenhet,Andel i bostadsförening,2.5,70.0,Ja,4.0,1928,3127.0,,Ja,6
Wargentinsgatan 3,15 februari 2023,4460000,3950000,Lägenhet,Bostadsrätt,2.0,44.0,Ja,2.0,1933,2438.0,,Ja,8
Ola Hanssonsgatan 9,15 februari 2023,3765000,3695000,Lägenhet,Bostadsrätt,2.0,50.0,Ja,3.0,1934,3311.0,4883.0,Nej,2
"Stagneliusvägen 32, 2tr",15 februari 2023,3700000,3795000,Lägenhet,Bostadsrätt,2.0,48.0,Ja,2.0,1939,3056.0,10020.0,Ja,2
"Polhemsgatan 8, 5tr",15 februari 2023,4275000,3600000,Lägenhet,Bostadsrätt,1.5,30.0,Ja,5.0,1934,1182.0,,Ja,8
Creutzgatan 11,15 februari 2023,3500000,3295000,Lägenhet,Bostadsrätt,2.0,39.0,Nej,2.0,0,2254.0,4200.0,Nej,5
"Hantverkargatan 28, 2 tr",15 februari 2023,4800000,4150000,Lägenhet,Bostadsrätt,2.0,42.0,Nej,2.0,1883,2031.0,3600.0,Nej,8
Odengatan 30,15 februari 2023,4550000,4900000,Lägenhet,Bostadsrätt,1.5,43.0,Nej,1.0,1966,905.0,4800.0,Ja,0
"Kungsholms kyrkoplan 3A, vån 3",15 februari 2023,5540000,4795000,Lägenhet,Bostadsrätt,2.0,48.0,Nej,3.0,1926,2120.0,6708.0,Nej,8
"Warfvinges väg 18, vån 12",15 februari 2023,4800000,4595000,Lägenhet,Bostadsrätt,2.0,53.5,Ja,12.0,2015,3994.0,,Ja,5
"Roslagsgatan 33B, 3tr",15 februari 2023,6900000,6495000,Lägenhet,Bostadsrätt,2.0,57.0,Ja,3.0,1901,2981.0,,Ja,0
"Tre liljor 2A, 3tr",15 februari 2023,5510000,4695000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,3.0,1924,3123.0,7176.0,Ja,7
Birger Jarlsgatan 97,16 februari 2023,6100000,4995000,Lägenhet,Bostadsrätt,2.0,53.0,Ja,1.0,1914,2203.0,,Ja,0
Norrtullsgatan 4,16 februari 2023,5300000,5195000,Lägenhet,Bostadsrätt,2.0,47.0,Nej,1.0,1884,825.0,8440.0,Ja,4
Birkagatan 36,16 februari 2023,4610000,4695000,Lägenhet,Bostadsrätt,2.0,41.0,Nej,,1902,1174.0,4800.0,,6
"Kungsholms strand 143, vån 5",16 februari 2023,5450000,5695000,Lägenhet,Bostadsrätt,2.0,57.0,Ja,5.0,1934,2427.0,,Ja,1
Pontonjärgatan 20,16 februari 2023,4000000,3950000,Lägenhet,Bostadsrätt,2.0,45.0,Nej,,1931,2527.0,9000.0,,1
"Fleminggatan 111, 3 tr",16 februari 2023,4400000,3995000,Lägenhet,Bostadsrätt,2.0,38.0,,,1909,2158.0,,,1
"Vidargatan 9, 3tr",16 februari 2023,9200000,7995000,Lägenhet,Bostadsrätt,2.0,76.0,,3.0,1907,2030.0,,Ja,7
Chapmansgatan 6,16 februari 2023,7025000,6450000,Lägenhet,Bostadsrätt,2.5,77.0,Ja,1.0,1930,3381.0,,Ja,1
"Dalagatan 86B, 6tr",17 februari 2023,8000000,7950000,Lägenhet,Bostadsrätt,2.0,66.0,Ja,6.0,0,3913.0,,Ja,7
Torsgatan 50,17 februari 2023,3825000,3495000,Lägenhet,Bostadsrätt,2.0,32.0,Nej,4.0,1910,1362.0,5800.0,Ja,6
"Industrigatan 14, -1 ½tr",17 februari 2023,4310000,4350000,Lägenhet,Bostadsrätt,2.0,54.0,Nej,-2.0,1935,3375.0,6000.0,Ja,1
Dalagatan 108,17 februari 2023,3650000,3650000,Lägenhet,Bostadsrätt,2.0,34.0,Ja,1.0,2022,2257.0,,Ja,4
Grev Magnigatan 15B,18 februari 2023,11495000,10950000,Lägenhet,Bostadsrätt,2.5,86.0,Ja,2.0,1896,3992.0,,Ja,3
Regeringsgatan 70E,18 februari 2023,6160000,5950000,Lägenhet,Bostadsrätt,2.5,65.0,,2.0,1982,2675.0,5340.0,Ja,0
Fredhällsgatan 9,19 februari 2023,4025000,3850000,Lägenhet,Bostadsrätt,2.0,40.0,Ja,,1931,2617.0,,,2
Danderydsgatan 25,19 februari 2023,6200000,6495000,Lägenhet,Bostadsrätt,2.0,64.0,Ja,3.0,2012,4218.0,6000.0,Ja,0
"Tomtebogatan 13, BV",19 februari 2023,5225000,4995000,Lägenhet,Bostadsrätt,2.0,52.0,Nej,,1909,2070.0,,,6
"Dalagatan 108, 3tr",19 februari 2023,4225000,4295000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,3.0,2023,2574.0,,Ja,4
"Anna Steckséns Gata 15, 9  tr",20 februari 2023,4910000,4850000,Lägenhet,Bostadsrätt,2.0,38.0,Ja,9.0,2022,2387.0,,Ja,6
"Birger Jarlsgatan 104J, 2 tr",20 februari 2023,4500000,4195000,Lägenhet,Bostadsrätt,2.0,44.0,Nej,2.0,1927,2822.0,10950.0,Nej,0
Nina einhorns gata 8,20 februari 2023,3995000,4095000,Lägenhet,Bostadsrätt,2.0,43.0,Nej,,2018,2846.0,,,6
"Birkagatan 14, 5tr",20 februari 2023,5500000,4750000,Lägenhet,Bostadsrätt,2.0,42.0,,5.0,0,1150.0,5400.0,Ja,6
"Gävlegatan 11, 3tr",20 februari 2023,4170000,3995000,Lägenhet,Bostadsrätt,1.5,38.0,,3.0,0,1742.0,,Nej,6
Völundsgatan 3,20 februari 2023,3950000,3950000,Lägenhet,Bostadsrätt,2.0,40.0,Nej,,1929,2329.0,7080.0,,6
Sara Lidmans gata 4,21 februari 2023,4230000,4200000,Lägenhet,Bostadsrätt,2.0,42.0,Ja,6.0,2012,1745.0,,Ja,2
"Polhemsgatan 38, 3tr",21 februari 2023,4420000,3995000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,3.0,1937,2317.0,7800.0,Ja,8
"Döbelnsgatan 47, 2 tr",21 februari 2023,5700000,5675000,Lägenhet,Bostadsrätt,2.0,58.0,Nej,2.0,1929,2918.0,,Ja,0
"Sankt Göransgatan 62, 4 tr",21 februari 2023,7050000,6495000,Lägenhet,Bostadsrätt,2.0,63.0,Ja,4.0,1905,2871.0,7400.0,Ja,1
"Storgatan 32, 3tr",21 februari 2023,3825000,3250000,Lägenhet,Bostadsrätt,2.0,25.0,,3.0,1879,1651.0,3600.0,Ja,3
"Hjärnegatan 6, 4tr",21 februari 2023,4900000,4195000,Lägenhet,Bostadsrätt,2.0,46.0,Nej,4.0,1988,2307.0,9600.0,Ja,8
"Tegnérgatan 55B, 8tr",21 februari 2023,7900000,6995000,Lägenhet,Bostadsrätt,2.0,43.0,Ja,7.0,1929,2777.0,3840.0,Ja,4
Harry Martinsons gata 9,21 februari 2023,5020000,4795000,Lägenhet,Bostadsrätt,2.0,65.0,Ja,1.0,2013,3091.0,,Ja,2
"Sigtunagatan 18 1,5tr",21 februari 2023,4800000,4195000,Lägenhet,Bostadsrätt,2.0,39.0,,1.5,1898,1836.0,7634.0,Ja,7
"Linnégatan 20, 3 tr",22 februari 2023,4725000,4295000,Lägenhet,Bostadsrätt,2.0,36.0,Ja,3.0,1942,1863.0,8500.0,Ja,9
Hälsingehöjden 11,22 februari 2023,6610000,6495000,Lägenhet,Bostadsrätt,2.0,67.0,Nej,1.0,1924,3236.0,6569.0,Ja,7
John Bergs plan 8,22 februari 2023,3000000,2895000,Lägenhet,Bostadsrätt,2.0,33.0,,,1938,2312.0,,,1
"Tulegatan 42, 4 tr",22 februari 2023,5950000,5495000,Lägenhet,Bostadsrätt,2.0,62.0,,4.0,1973,2981.0,,Ja,0
Industrigatan 2A Vån 3,22 februari 2023,5600000,4950000,Lägenhet,Bostadsrätt,2.0,53.0,Ja,3.0,1920,2895.0,,Ja,1
Upplandsgatan 78,22 februari 2023,5525000,5295000,Lägenhet,Bostadsrätt,2.0,51.0,Nej,0.5,1906,2237.0,5500.0,Ja,7
"Kungsklippan 22, -2TR",22 februari 2023,4812500,4850000,Lägenhet,Bostadsrätt,2.0,60.0,Nej,-2.0,1935,4912.0,,Nej,8
"Hagagatan 22, BV",22 februari 2023,3550000,3500000,Lägenhet,Bostadsrätt,2.0,38.0,,0.0,1924,2741.0,4500.0,,4
Nybrogatan 42,22 februari 2023,9950000,9950000,Lägenhet,Bostadsrätt,2.0,65.0,Ja,2.0,1882,1660.0,,Ja,9
"Gävlegatan 32, 10 tr",22 februari 2023,3850000,3690000,Lägenhet,Bostadsrätt,2.0,35.0,Ja,10.0,2017,1750.0,,Ja,6
Brahegatan 37,22 februari 2023,8200000,7400000,Lägenhet,Bostadsrätt,2.0,57.0,Ja,1.0,1880,1017.0,,Ja,9
"Norrtullsgatan 36, 6tr",22 februari 2023,5120000,4595000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,6.0,1939,2364.0,,Ja,7
"Odengatan 36A, 1tr",22 februari 2023,5960000,5295000,Lägenhet,Bostadsrätt,2.0,50.0,Ja,1.0,1901,2110.0,,Nej,0
Lustgårdsgatan 3,22 februari 2023,3650000,3550000,Lägenhet,Bostadsrätt,2.0,49.0,,1.0,2012,3100.0,9396.0,Ja,5
"Levertinsgatan 1, 1 1/2 tr",22 februari 2023,2930000,2750000,Lägenhet,Bostadsrätt,1.5,35.0,,1.0,1931,2423.0,4752.0,Ja,2
Uggelviksgatan 8,22 februari 2023,7350000,6450000,Lägenhet,Bostadsrätt,2.0,64.0,Ja,5.0,2014,4028.0,6600.0,Ja,0
Sonja Kovalevskys gata 11,22 februari 2023,5200000,5250000,Lägenhet,Bostadsrätt,2.0,54.0,Ja,3.0,2017,2700.0,,Ja,6
Floragatan 10,22 februari 2023,7000000,7495000,Lägenhet,Bostadsrätt,2.0,53.0,,1.0,1961,1091.0,10000.0,Ja,9
"Torsgatan 73, 0,5tr",23 februari 2023,3950000,3950000,Lägenhet,Bostadsrätt,2.0,41.0,Nej,0.5,1926,2163.0,,Ja,6
"Rehnsgatan 21 A, 4 tr, Över Gård",23 februari 2023,5540000,4975000,Lägenhet,Bostadsrätt,2.0,48.0,Nej,4.0,1904,1217.0,8760.0,Nej,0
Sibyllegatan 83,23 februari 2023,7200000,7400000,Lägenhet,Andel i bostadsförening,2.0,67.0,Nej,0.5,1889,2042.0,7800.0,,9
Gyllenborgsgatan 16,23 februari 2023,3720000,3250000,Lägenhet,Bostadsrätt,2.0,42.0,Nej,0.5,1928,2153.0,6800.0,Nej,5
"Birger Jarlsgatan 109C, BV mot innergård",23 februari 2023,3525000,3495000,Lägenhet,Bostadsrätt,2.0,39.0,Nej,,1903,1782.0,,,0
Sankt Eriksgatan 92,23 februari 2023,4100000,3850000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,0.5,1912,1896.0,,Ja,6
"Ernst Ahlgrens väg 5, 1,5 tr",23 februari 2023,3950000,3695000,Lägenhet,Bostadsrätt,2.0,43.5,Ja,1.0,1931,2469.0,12349.0,Nej,2
