Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
"Norrbackagatan 23, vån 7",26 augusti 2022,3050000,2995000,Lägenhet,Bostadsrätt,1.0,25.0,,7.0,1980,1807.0,,Ja,6
"Birkagatan 16C, 3tr",26 augusti 2022,3300000,2850000,Lägenhet,Bostadsrätt,1.0,34.0,Nej,3.0,0,1741.0,,Ja,6
"Garvar Lundins gränd 3, ACCEPTERAT PRIS",26 augusti 2022,3905000,3995000,Lägenhet,Bostadsrätt,1.0,46.0,Nej,0.5,1927,1581.0,4000.0,Ja,8
Alströmergatan 32 D,26 augusti 2022,3100000,2995000,Lägenhet,Bostadsrätt,1.0,35.0,,0.5,1930,1801.0,,Nej,1
Polhemsgatan 33,27 augusti 2022,3200000,3100000,Lägenhet,Bostadsrätt,1.0,34.0,Nej,2.0,1929,1621.0,5100.0,Ja,8
"Tulegatan 49, vån 5",28 augusti 2022,3335000,0,Lägenhet,Bostadsrätt,1.0,32.0,Nej,5.0,1962,1246.0,,Ja,0
Kungsholms strand 163,29 augusti 2022,2900000,2475000,Lägenhet,Bostadsrätt,1.0,30.0,Nej,1.0,1929,2372.0,4320.0,Ja,1
Danderydsgatan 28 A,29 augusti 2022,4600000,4295000,Lägenhet,Bostadsrätt,1.0,22.0,,4.0,1903,890.0,4100.0,Nej,0
"Creutzgatan 11, 4tr",29 augusti 2022,3000000,2795000,Lägenhet,Bostadsrätt,1.0,35.0,Nej,4.0,1927,1844.0,,Nej,5
"Alströmergatan 11, egen garageplats",30 augusti 2022,3400000,3495000,Lägenhet,Bostadsrätt,1.0,37.0,Nej,3.0,1952,1938.0,4600.0,Ja,1
"Rörstrandsgatan 23, 2 tr",30 augusti 2022,2810000,2795000,Lägenhet,Bostadsrätt,1.0,28.0,Nej,2.0,1929,1405.0,,Ja,6
Atlasgatan 12,30 augusti 2022,3500000,3195000,Lägenhet,Bostadsrätt,1.0,31.0,Nej,1.5,1929,1367.0,2980.0,Nej,6
"Bergsgatan 31, 2tr",30 augusti 2022,2495000,2495000,Lägenhet,Bostadsrätt,1.0,23.0,Nej,2.0,1927,1242.0,,Ja,8
Geijersvägen 4,30 augusti 2022,2800000,0,Lägenhet,Bostadsrätt,1.0,34.5,Nej,4.0,1926,1894.0,,Nej,5
"Valhallavägen 49, 4tr",31 augusti 2022,2575000,2275000,Lägenhet,Bostadsrätt,1.0,21.0,Nej,4.0,1931,1136.0,,Ja,0
Banérgatan 25A,31 augusti 2022,2730000,2995000,Lägenhet,Bostadsrätt,1.0,25.0,Nej,,1970,605.0,,,3
"Atlasgatan 16, 4tr",31 augusti 2022,3100000,2495000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,4.0,1927,1549.0,4200.0,Ja,6
"Sankt Eriksgatan 61 A, ÖG",31 augusti 2022,3460000,3400000,Lägenhet,Bostadsrätt,1.0,32.0,Nej,1.0,1905,1008.0,6000.0,Ja,1
"Wittstocksgatan 21, 2 tr",31 augusti 2022,3125000,2495000,Lägenhet,Bostadsrätt,1.0,26.0,Ja,2.0,1937,1551.0,,Ja,3
Drottninggatan 73A,31 augusti 2022,3480000,2995000,Lägenhet,Bostadsrätt,1.0,29.0,,1.0,1886,751.0,6000.0,,4
Tomtebogatan 42,31 augusti 2022,2750000,2750000,Lägenhet,Bostadsrätt,1.0,26.5,,,1907,1524.0,,,6
"Valhallavägen 172, 4 tr",2 september 2022,3250000,2695000,Lägenhet,Bostadsrätt,1.0,25.0,Ja,4.0,1937,886.0,3600.0,Ja,3
Vulcanusgatan 9,2 september 2022,3050000,2895000,Lägenhet,Bostadsrätt,1.0,26.0,Nej,4.0,1927,1549.0,8518.0,Ja,6
Fleminggatan 54,2 september 2022,3200000,3095000,Lägenhet,Bostadsrätt,1.0,35.0,Nej,1.0,1884,934.0,,Ja,1
Wargentinsgatan 7 våning 5/5,2 september 2022,3200000,3295000,Lägenhet,Bostadsrätt,1.0,31.0,Nej,5.0,1932,1796.0,,Ja,8
"Ruddammsbacken 28, ACCEPTERAT PRIS",2 september 2022,3200000,2695000,Lägenhet,Bostadsrätt,1.0,32.0,Ja,2.0,1939,1733.0,4008.0,Ja,0
"Gumshornsgatan 9, 2tr",2 september 2022,3500000,3500000,Lägenhet,Bostadsrätt,1.0,32.0,,2.0,1930,1784.0,6100.0,Ja,3
Valhallavägen 69,5 september 2022,2525000,2650000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,4.0,1933,2057.0,,Ja,0
Torsgatan 40A,6 september 2022,3800000,3300000,Lägenhet,Bostadsrätt,1.0,29.0,Ja,3.0,1914,1724.0,3800.0,,6
